Run,LoadDate,Experiment,SRAStudy,BioProject,Sample,BioSample,SampleName,Submission,dbgap_study_accession
SRR27190051,2023-12-12 18:48:44,SRX22870277,SRP477628,PRJNA1051639,SRS19843787,SAMN38792313,GSM7971789,SRA1767704,
SRR27190050,2023-12-12 18:48:20,SRX22870278,SRP477628,PRJNA1051639,SRS19843792,SAMN38792312,GSM7971790,SRA1767704,
SRR27190049,2023-12-12 18:48:29,SRX22870279,SRP477628,PRJNA1051639,SRS19843793,SAMN38792311,GSM7971791,SRA1767704,
SRR27190048,2023-12-12 18:48:08,SRX22870280,SRP477628,PRJNA1051639,SRS19843791,SAMN38792310,GSM7971792,SRA1767704,
SRR27190047,2023-12-12 18:48:00,SRX22870281,SRP477628,PRJNA1051639,SRS19843797,SAMN38792309,GSM7971793,SRA1767704,
SRR27190046,2023-12-12 18:47:57,SRX22870282,SRP477628,PRJNA1051639,SRS19843799,SAMN38792308,GSM7971794,SRA1767704,
SRR27190045,2023-12-12 18:48:00,SRX22870283,SRP477628,PRJNA1051639,SRS19843795,SAMN38792307,GSM7971795,SRA1767704,
SRR27190044,2023-12-12 18:49:13,SRX22870284,SRP477628,PRJNA1051639,SRS19843804,SAMN38792306,GSM7971796,SRA1767704,
SRR27190043,2023-12-12 18:47:27,SRX22870285,SRP477628,PRJNA1051639,SRS19843796,SAMN38792305,GSM7971797,SRA1767704,
SRR27190042,2023-12-12 18:47:11,SRX22870286,SRP477628,PRJNA1051639,SRS19843801,SAMN38792304,GSM7971798,SRA1767704,
SRR27190041,2023-12-12 18:47:23,SRX22870287,SRP477628,PRJNA1051639,SRS19843803,SAMN38792303,GSM7971799,SRA1767704,
SRR27190040,2023-12-12 18:47:32,SRX22870288,SRP477628,PRJNA1051639,SRS19843798,SAMN38792302,GSM7971800,SRA1767704,
SRR27190039,2023-12-12 18:46:23,SRX22870289,SRP477628,PRJNA1051639,SRS19843800,SAMN38792301,GSM7971801,SRA1767704,
SRR27190038,2023-12-12 18:50:18,SRX22870290,SRP477628,PRJNA1051639,SRS19843802,SAMN38792300,GSM7971802,SRA1767704,
SRR27190037,2023-12-12 18:46:49,SRX22870291,SRP477628,PRJNA1051639,SRS19843805,SAMN38792299,GSM7971803,SRA1767704,
SRR27190092,2023-12-12 18:47:54,SRX22870236,SRP477628,PRJNA1051639,SRS19843747,SAMN38792298,GSM7971804,SRA1767704,
SRR27190091,2023-12-12 18:48:41,SRX22870237,SRP477628,PRJNA1051639,SRS19843749,SAMN38792297,GSM7971805,SRA1767704,
SRR27190090,2023-12-12 18:48:50,SRX22870238,SRP477628,PRJNA1051639,SRS19843755,SAMN38792296,GSM7971806,SRA1767704,
SRR27190089,2023-12-12 18:48:54,SRX22870239,SRP477628,PRJNA1051639,SRS19843754,SAMN38792295,GSM7971807,SRA1767704,
SRR27190088,2023-12-12 18:48:34,SRX22870240,SRP477628,PRJNA1051639,SRS19843752,SAMN38792294,GSM7971808,SRA1767704,
SRR27190087,2023-12-12 18:49:31,SRX22870241,SRP477628,PRJNA1051639,SRS19843753,SAMN38792293,GSM7971809,SRA1767704,
