Run,LoadDate,Experiment,SRAStudy,BioProject,Sample,BioSample,SampleName,Submission,dbgap_study_accession
SRR24360160,2023-04-30 15:05:04,SRX20149111,SRP435274,PRJNA964438,SRS17477447,SAMN34472556,GSM7265364, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360159,2023-04-30 15:08:30,SRX20149112,SRP435274,PRJNA964438,SRS17477448,SAMN34472555,GSM7265365, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360161,2023-04-30 15:06:06,SRX20149113,SRP435274,PRJNA964438,SRS17477449,SAMN34472554,GSM7265366, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360158,2023-04-30 15:13:24,SRX20149114,SRP435274,PRJNA964438,SRS17477453,SAMN34472553,GSM7265367, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360162,2023-04-30 15:02:45,SRX20149115,SRP435274,PRJNA964438,SRS17477450,SAMN34472552,GSM7265368, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360157,2023-04-30 15:02:11,SRX20149116,SRP435274,PRJNA964438,SRS17477451,SAMN34472551,GSM7265369, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360156,2023-04-30 15:13:15,SRX20149117,SRP435274,PRJNA964438,SRS17477452,SAMN34472550,GSM7265370, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360153,2023-04-30 15:11:17,SRX20149118,SRP435274,PRJNA964438,SRS17477455,SAMN34472549,GSM7265371, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360152,2023-04-30 15:01:18,SRX20149119,SRP435274,PRJNA964438,SRS17477456,SAMN34472548,GSM7265372, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24360154,2023-04-30 15:12:59,SRX20149120,SRP435274,PRJNA964438,SRS17477454,SAMN34472547,GSM7265373, UNIVERSITY OF CALIFORNIA, SAN DIEGO"
SRR24993813,2023-06-22 17:41:10,SRX20749690,SRP445351,PRJNA986483,SRS18039106,SAMN35841251,GSM7505456,SRA1660222,
SRR24993812,2023-06-22 17:46:11,SRX20749691,SRP445351,PRJNA986483,SRS18039107,SAMN35841250,GSM7505457,SRA1660222,
SRR24993811,2023-06-22 17:46:05,SRX20749692,SRP445351,PRJNA986483,SRS18039108,SAMN35841249,GSM7505458,SRA1660222,
SRR24993810,2023-06-22 17:48:29,SRX20749693,SRP445351,PRJNA986483,SRS18039109,SAMN35841248,GSM7505459,SRA1660222,
SRR24993809,2023-06-22 17:35:47,SRX20749694,SRP445351,PRJNA986483,SRS18039110,SAMN35841247,GSM7505460,SRA1660222,
SRR24993755,2023-06-22 17:39:00,SRX20749748,SRP445351,PRJNA986483,SRS18039163,SAMN35841241,GSM7505466,SRA1660222,
SRR24993756,2023-06-22 17:41:05,SRX20749747,SRP445351,PRJNA986483,SRS18039164,SAMN35841240,GSM7505467,SRA1660222,
SRR24993757,2023-06-22 17:36:25,SRX20749746,SRP445351,PRJNA986483,SRS18039161,SAMN35841239,GSM7505468,SRA1660222,
SRR24993758,2023-06-22 17:42:06,SRX20749745,SRP445351,PRJNA986483,SRS18039160,SAMN35841238,GSM7505469,SRA1660222,
SRR24993759,2023-06-22 17:37:26,SRX20749744,SRP445351,PRJNA986483,SRS18039162,SAMN35841237,GSM7505470,SRA1660222,
SRR24993760,2023-06-22 17:50:27,SRX20749743,SRP445351,PRJNA986483,SRS18039159,SAMN35841236,GSM7505471,SRA1660222,
SRR24993761,2023-06-22 17:37:29,SRX20749742,SRP445351,PRJNA986483,SRS18039158,SAMN35841235,GSM7505472,SRA1660222,
SRR24993801,2023-06-22 17:39:09,SRX20749702,SRP445351,PRJNA986483,SRS18039118,SAMN35841234,GSM7505473,SRA1660222,
SRR24993802,2023-06-22 17:39:45,SRX20749701,SRP445351,PRJNA986483,SRS18039117,SAMN35841233,GSM7505474,SRA1660222,
SRR24993803,2023-06-22 17:38:31,SRX20749700,SRP445351,PRJNA986483,SRS18039116,SAMN35841232,GSM7505475,SRA1660222,
SRR24993804,2023-06-22 17:37:39,SRX20749699,SRP445351,PRJNA986483,SRS18039115,SAMN35841231,GSM7505476,SRA1660222,
SRR24993800,2023-06-22 17:36:56,SRX20749703,SRP445351,PRJNA986483,SRS18039119,SAMN35841230,GSM7505477,SRA1660222,
SRR24993799,2023-06-22 17:37:27,SRX20749704,SRP445351,PRJNA986483,SRS18039120,SAMN35841229,GSM7505478,SRA1660222,
SRR24993798,2023-06-22 17:48:56,SRX20749705,SRP445351,PRJNA986483,SRS18039121,SAMN35841228,GSM7505479,SRA1660222,
SRR24993745,2023-06-22 17:38:07,SRX20749758,SRP445351,PRJNA986483,SRS18039174,SAMN35841227,GSM7505480,SRA1660222,
SRR24993744,2023-06-22 17:38:12,SRX20749759,SRP445351,PRJNA986483,SRS18039175,SAMN35841226,GSM7505481,SRA1660222,
SRR24993743,2023-06-22 17:40:16,SRX20749760,SRP445351,PRJNA986483,SRS18039177,SAMN35841225,GSM7505482,SRA1660222,
SRR24993748,2023-06-22 17:40:08,SRX20749755,SRP445351,PRJNA986483,SRS18039172,SAMN35841224,GSM7505483,SRA1660222,
SRR24993742,2023-06-22 17:37:05,SRX20749761,SRP445351,PRJNA986483,SRS18039176,SAMN35841223,GSM7505484,SRA1660222,
SRR24993741,2023-06-22 17:39:39,SRX20749762,SRP445351,PRJNA986483,SRS18039178,SAMN35841222,GSM7505485,SRA1660222,
SRR24993740,2023-06-22 17:38:20,SRX20749763,SRP445351,PRJNA986483,SRS18039179,SAMN35841221,GSM7505486,SRA1660222,
SRR24993739,2023-06-22 17:42:02,SRX20749764,SRP445351,PRJNA986483,SRS18039181,SAMN35841220,GSM7505487,SRA1660222,
SRR28982521,2024-05-09 18:44:40,SRX24511584,SRP506834,PRJNA1109817,SRS21259721,SAMN41299454,GSM8260666,SRA1863282,
SRR28982520,2024-05-09 18:18:28,SRX24511585,SRP506834,PRJNA1109817,SRS21259723,SAMN41299453,GSM8260667,SRA1863282,
SRR28982519,2024-05-09 18:21:02,SRX24511586,SRP506834,PRJNA1109817,SRS21259722,SAMN41299452,GSM8260668,SRA1863282,
SRR28982518,2024-05-09 18:21:02,SRX24511587,SRP506834,PRJNA1109817,SRS21259724,SAMN41299451,GSM8260669,SRA1863282,
SRR28982517,2024-05-09 18:28:02,SRX24511588,SRP506834,PRJNA1109817,SRS21259725,SAMN41299450,GSM8260670,SRA1863282,
SRR19594042,2022-06-09 09:31:53,SRX15645576,SRP379286,PRJNA847432,SRS13344509,SAMN28934936,GSM6222625,SRA1434277,
SRR19594041,2022-06-09 09:39:18,SRX15645577,SRP379286,PRJNA847432,SRS13344510,SAMN28934935,GSM6222626,SRA1434277,
SRR19594040,2022-06-09 09:31:52,SRX15645578,SRP379286,PRJNA847432,SRS13344511,SAMN28934934,GSM6222627,SRA1434277,
SRR19594039,2022-06-09 09:29:25,SRX15645579,SRP379286,PRJNA847432,SRS13344512,SAMN28934933,GSM6222628,SRA1434277,
SRR19594038,2022-06-09 09:28:58,SRX15645580,SRP379286,PRJNA847432,SRS13344513,SAMN28934932,GSM6222629,SRA1434277,
SRR19594037,2022-06-09 09:28:46,SRX15645581,SRP379286,PRJNA847432,SRS13344514,SAMN28934931,GSM6222630,SRA1434277,
SRR19594036,2022-06-09 09:31:52,SRX15645582,SRP379286,PRJNA847432,SRS13344515,SAMN28934930,GSM6222631,SRA1434277,
SRR19594035,2022-06-09 09:29:37,SRX15645583,SRP379286,PRJNA847432,SRS13344516,SAMN28934929,GSM6222632,SRA1434277,
SRR19594034,2022-06-09 09:26:15,SRX15645584,SRP379286,PRJNA847432,SRS13344517,SAMN28934928,GSM6222633,SRA1434277,
SRR19594033,2022-06-09 09:31:07,SRX15645585,SRP379286,PRJNA847432,SRS13344519,SAMN28934927,GSM6222634,SRA1434277,
SRR19594032,2022-06-09 09:19:35,SRX15645586,SRP379286,PRJNA847432,SRS13344518,SAMN28934926,GSM6222635,SRA1434277,
SRR19594031,2022-06-09 09:31:53,SRX15645587,SRP379286,PRJNA847432,SRS13344520,SAMN28934925,GSM6222636,SRA1434277,
SRR19594030,2022-06-09 09:31:08,SRX15645588,SRP379286,PRJNA847432,SRS13344521,SAMN28934924,GSM6222637,SRA1434277,
SRR19594029,2022-06-09 09:24:35,SRX15645589,SRP379286,PRJNA847432,SRS13344522,SAMN28934923,GSM6222638,SRA1434277,
SRR24058370,2023-04-04 00:51:07,SRX19859711,SRP430744,PRJNA951710,SRS17217234,SAMN34062806,GSM7139798, UNIVERSITY OF COLOGNE",SRA1615234
SRR24058369,2023-04-04 01:13:35,SRX19859712,SRP430744,PRJNA951710,SRS17217236,SAMN34062805,GSM7139799, UNIVERSITY OF COLOGNE",SRA1615234
SRR24058368,2023-04-04 00:48:53,SRX19859713,SRP430744,PRJNA951710,SRS17217235,SAMN34062804,GSM7139800, UNIVERSITY OF COLOGNE",SRA1615234
SRR24116298,2023-04-10 14:45:06,SRX19915660,SRP431727,PRJNA953949,SRS17268499,SAMN34128420,GSM7157922, YALE UNIVERSITY",SRA1617895
